OBJECTID,Shape_Length,bearing,bearing_corrected,x_coord,y_coord
1,5793.470708,72.73005865,72.73005865,-161.4214084,73.96079079
2,4456.935167,73.19861525,73.19861525,-161.3769672,73.96373356
3,4825.682892,73.61878113,73.61878113,-161.3657844,73.96638143
4,1044.998994,74.97965198,74.97965198,-161.3548301,73.97034408
5,4513.048901,75.27752474,75.27752474,-161.3494843,73.97164865
6,2958.586886,75.14567194,75.14567194,-161.3562593,73.97581841
7,1597.763131,74.6074975,74.6074975,-161.4534399,73.9773173
8,3704.549323,255.454194,75.45419402,-161.389722,73.98067825
9,4620.496215,255.3936917,75.39369171,-161.3631508,73.98467358
10,5048.579784,255.0769413,75.07694131,-161.3556841,73.98987548
11,2840.209961,255.8170872,75.81708722,-161.3786411,73.99494089
12,4050.757265,256.0519042,76.05190418,-161.3488583,73.997683
13,4452.713601,257.4235434,77.42354335,-161.3439032,74.00019317
14,1079.32852,255.4587017,75.45870167,-161.3821219,73.96925611
15,1276.198515,73.17644907,73.17644907,-161.3683148,73.97370937
16,3730.592392,254.9935072,74.99350725,-161.4614532,74.01726542
17,1116.618149,253.5903716,73.59037164,-161.4368082,74.01786083
18,4855.514033,254.6974566,74.69745655,-161.4730149,74.01418575
19,4104.651303,255.0867202,75.08672017,-161.4557422,74.01482685
20,4113.028488,75.62706688,75.62706688,-161.4571185,74.01595339
21,1909.627618,76.84820761,76.84820761,-161.2868067,74.01746282
22,8475.93826,76.29740128,76.29740128,-161.3710711,74.00639551
23,5902.000796,256.0835442,76.08354422,-161.3941868,74.01046953
24,5108.610536,256.0727915,76.07279145,-161.263259,74.01011913
25,1790.983166,75.68696806,75.68696806,-161.3054061,74.01511912
26,1524.391975,75.92940311,75.92940311,-161.2938105,74.01631004
27,5706.238579,75.88126249,75.88126249,-161.3941299,74.00875305
28,6315.582105,76.66228616,76.66228616,-161.3352036,74.00373801
29,5046.046038,77.38830373,77.38830373,-161.3417026,74.00185358
30,1406.132643,75.86218197,75.86218197,-161.2563177,74.02560458
31,1481.383673,75.52065103,75.52065103,-161.2858513,74.0197557
32,4445.54854,85.83308662,85.83308662,-160.9042951,74.04925602
33,3218.495077,84.50016303,84.50016303,-160.938862,74.04873951
34,2505.829645,86.0580276,86.0580276,-160.9236118,74.04898691
35,4489.112359,87.45973416,87.45973416,-160.8938431,74.0539278
36,3293.166276,86.7914858,86.7914858,-160.8844916,74.05593989
38,1663.04989,85.13711235,85.13711235,-160.9358459,74.04300119
39,1978.078662,85.34424394,85.34424394,-160.9293282,74.04375141
40,2269.711023,84.56930243,84.56930243,-160.9315653,74.04695354
41,2512.206976,98.16440083,98.16440083,-160.7306304,74.10644557
42,2784.971321,97.80379224,97.80379224,-160.7373956,74.10386474
43,2391.855683,98.18005746,98.18005746,-160.749784,74.10108973
44,1776.239987,96.3261358,96.3261358,-160.7661265,74.10069807
45,2907.760734,87.15110794,87.15110794,-160.8356849,74.08549293
46,1636.487205,86.54338045,86.54338045,-160.8713622,74.0839872
47,2231.308438,87.53740974,87.53740974,-160.8558344,74.08100415
48,748.9232208,90.1572546,90.1572546,-160.8637939,74.07955278
49,1992.375694,87.92820493,87.92820493,-160.8702932,74.07801799
50,1483.053835,117.513653,117.513653,-161.0318226,74.10236385
51,4337.199361,116.1835164,116.1835164,-161.1017823,74.10870966
52,888.0783545,295.7767044,115.7767044,-161.1274135,74.12717305
53,1438.837818,292.1801478,112.1801478,-161.0967135,74.12083076
54,2313.587794,298.8417826,118.8417826,-161.053843,74.10678847
55,1658.365208,298.4803298,118.4803298,-161.0454597,74.10170341
56,2164.637463,115.9734541,115.9734541,-161.0852917,74.10840042
57,1474.790996,116.1342411,116.1342411,-161.0255368,74.10362179
58,1631.949723,293.0852695,113.0852695,-161.2867984,74.10730835
59,1259.493956,292.4981796,112.4981796,-161.2911893,74.10595487
60,951.6811366,295.0947687,115.0947687,-161.3536101,74.1032503
61,1579.659049,293.5551115,113.5551115,-161.278427,74.10842348
62,3170.751901,86.19683793,86.19683793,-161.0166599,74.00875293
63,1238.447289,83.97180835,83.97180835,-160.9867611,74.00813536
64,2033.970948,256.5009933,76.50099332,-161.3088354,74.01273272
65,8013.153344,116.7147738,116.7147738,-160.7754862,74.18498507
66,9174.182865,291.8439,111.8439,-160.7670633,74.19659459
67,7000.713768,114.7927986,114.7927986,-160.7571642,74.19065357
68,4436.125909,112.9067679,112.9067679,-160.8010542,74.19721698
69,3272.072602,119.4873721,119.4873721,-160.7586123,74.17768758
70,4680.186395,294.6350231,114.6350231,-160.8102707,74.18892933
71,5588.467652,289.7684604,109.7684604,-160.7747599,74.21292215
72,3746.735515,289.7873914,109.7873914,-160.7724604,74.20789723
73,3303.673195,289.8113976,109.8113976,-160.7882127,74.20480139
74,1804.33827,112.2564609,112.2564609,-160.7628318,74.20125469
